Comment,Designator,Footprint,LCSC
WS2811,U3,SOIC-8_3.9x4.9mm_P1.27mm,C114581
1k,"R1,R3,R4,R5,R6,R8,R9",C_0402_1005Metric,C11702
AO3401A,Q1,SOT-23,C15127
100n,"C1,C2,C4,C5",C_0402_1005Metric,C1525
10u,C3,C_0402_1005Metric,C15525
AO3400A,"Q4,Q5,Q7",SOT-23,C20917
Q_NPN_BEC,"Q2,Q3,Q6",TSOT-23,C2150
L7805,U1,TO-252-2,C233417
100k,R2,C_0402_1005Metric,C25741
Conn_01x04_Female,J3,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,C265452
MAX485E,"U2,U4",SOIC-8_3.9x4.9mm_P1.27mm,C269864
Conn_01x04_Female,"J1,J2","PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal",C395901
NC,R7,C_0402_1005Metric,
